materiale,temperatura_estrusore,temperatura_piatto,velocita_stampa,umidita_ambientale,usura_motore,livello_vibrazioni,tempo_stampa_ore,sintomi,guasto
PETG,212,65,149,42,2774,18,2.8,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,219,69,195,39,6902,33,53.5,LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
PC,206,69,156,74,6649,52,25.9,RumoreCinghia;LayerSpostati;SottoEstrusione,GuastoMeccanico
NYLON,217,76,194,68,3113,54,42.4,TicchettioEstrusore,GuastoMeccanico
ABS,224,76,111,63,3491,19,89.2,TempInstabile,ProblemaElettrico
ASA,239,58,59,55,101,23,64.7,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,228,44,141,45,3014,44,93.5,TicchettioEstrusore;HomeFallito,GuastoMeccanico
NYLON,288,79,110,45,4071,5,44.3,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PC,225,52,122,65,1949,14,55.0,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PLA,210,79,79,88,2661,17,5.1,TempInstabile;TicchettioEstrusore;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,213,53,89,79,3975,24,64.4,OdoreBruciato,ProblemaElettrico
ABS,196,61,132,50,953,23,89.0,SchermoNero,ProblemaElettrico
TPU,281,74,85,74,3036,16,24.9,TempInstabile,GuastoTermico
ASA,211,43,170,50,5723,49,86.8,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
ABS,240,57,68,78,1497,8,57.5,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,166,73,81,75,3935,24,71.4,TempTroppoAlta,GuastoTermico
NYLON,221,47,80,45,3428,8,35.0,TempInstabile;TempTroppoAlta,GuastoTermico
ASA,160,76,98,66,1596,22,31.1,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PLA,218,69,82,81,387,18,48.6,OdoreBruciato;SchermoNero,ProblemaElettrico
ABS,275,58,94,42,3860,23,50.5,TempInstabile;TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,214,74,83,54,688,17,84.7,TempInstabile;HomeFallito,ProblemaElettrico
PC,201,73,194,53,4058,53,30.7,RumoreCinghia;LayerSpostati;SottoEstrusione,GuastoMeccanico
PLA,190,74,141,39,2170,5,57.9,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
TPU,153,43,137,73,2297,8,81.5,PiattoFreddo;SchermoNero,GuastoTermico
TPU,220,69,53,78,3906,21,50.2,TicchettioEstrusore;SchermoNero,ProblemaElettrico
PETG,238,40,107,92,1964,22,20.2,HomeFallito;FilamentoNonEsce,ProblemaAdesione
PC,236,72,144,51,3042,45,11.8,HomeFallito,GuastoMeccanico
PC,227,63,122,60,2201,8,84.7,TempInstabile;OdoreBruciato;HomeFallito;VentolaRumorosa,ProblemaElettrico
PLA,219,52,143,60,2305,13,49.2,OdoreBruciato;TicchettioEstrusore;HomeFallito;SchermoNero,ProblemaElettrico
PETG,212,32,53,71,3038,9,9.9,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,240,57,111,47,2620,17,24.0,RumoreCinghia,GuastoMeccanico
PLA,284,60,48,41,4847,8,63.4,PiattoFreddo,GuastoTermico
ABS,238,79,109,83,3657,11,95.9,OdoreBruciato;SchermoNero,ProblemaElettrico
PC,215,53,77,51,236,8,38.3,TempInstabile;TicchettioEstrusore;SchermoNero,ProblemaElettrico
PLA,211,76,70,75,269,9,28.5,TempInstabile,ProblemaElettrico
ABS,208,54,170,71,6825,59,30.6,TicchettioEstrusore;SottoEstrusione;HomeFallito;VentolaRumorosa,GuastoMeccanico
TPU,197,27,82,65,2624,24,69.8,Warping;FilamentoNonEsce,ProblemaAdesione
ABS,165,66,144,68,1782,22,49.9,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,211,55,69,89,1853,6,19.6,Warping;PiattoFreddo,ProblemaAdesione
PC,198,55,111,37,4331,43,9.0,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PLA,250,42,48,74,1740,24,43.6,TempInstabile;VentolaRumorosa,GuastoTermico
NYLON,218,66,79,47,896,24,93.7,Warping,ProblemaAdesione
PETG,219,71,112,65,1774,7,48.1,TempInstabile,ProblemaElettrico
ABS,161,66,119,37,3157,15,15.7,TempTroppoAlta,GuastoTermico
TPU,164,74,130,73,1487,21,83.1,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
ASA,211,43,88,40,1357,7,80.5,Warping;FilamentoNonEsce,ProblemaAdesione
ABS,219,73,60,32,1513,13,88.2,OdoreBruciato;SchermoNero,ProblemaElettrico
NYLON,272,58,103,79,1121,18,30.2,TempInstabile;TempTroppoAlta;SchermoNero,GuastoTermico
PETG,287,77,130,70,3706,42,83.0,TempInstabile,GuastoTermico
TPU,198,71,126,50,3824,47,6.3,TempTroppoAlta;TicchettioEstrusore,GuastoTermico
TPU,205,64,51,73,3866,24,22.4,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
TPU,223,29,69,86,3098,15,31.1,PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
NYLON,257,48,125,40,3991,54,39.8,TempTroppoAlta;PiattoFreddo,GuastoTermico
ASA,221,49,152,39,5660,42,90.3,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
TPU,238,43,41,61,2678,9,10.0,TempInstabile;TempTroppoAlta,GuastoTermico
PLA,157,75,68,48,2257,14,8.4,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,200,41,136,83,3451,30,37.7,Warping;PiattoFreddo,ProblemaAdesione
ABS,215,45,112,73,417,25,6.0,TempInstabile;SchermoNero,ProblemaElettrico
ASA,219,53,137,52,3346,35,72.0,OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,208,63,143,80,370,12,46.6,TempInstabile;HomeFallito,ProblemaElettrico
ASA,202,63,157,55,4785,37,53.7,LayerSpostati;TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,213,47,97,66,350,11,53.9,HomeFallito;SchermoNero,ProblemaElettrico
NYLON,191,43,116,59,3870,59,58.1,LayerSpostati;TicchettioEstrusore;HomeFallito;VentolaRumorosa,GuastoMeccanico
PC,224,78,78,91,3702,25,40.2,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ABS,212,61,96,80,1876,10,38.9,OdoreBruciato;SchermoNero,ProblemaElettrico
PETG,194,74,130,92,1992,16,82.5,TempInstabile,ProblemaElettrico
ABS,193,61,134,67,239,9,38.7,TempInstabile;SchermoNero,ProblemaElettrico
TPU,259,73,79,72,1250,9,65.4,TempInstabile;TempTroppoAlta,GuastoTermico
TPU,231,62,80,94,2399,14,80.0,OdoreBruciato,ProblemaElettrico
PLA,224,41,87,79,874,23,59.9,Warping,ProblemaAdesione
ABS,166,52,76,48,2578,18,19.7,TempInstabile;TempTroppoAlta,GuastoTermico
ABS,216,54,46,45,3769,22,20.1,FilamentoNonEsce,ProblemaAdesione
ASA,230,45,72,70,2741,24,84.8,TempInstabile;VentolaRumorosa;SchermoNero,ProblemaElettrico
PETG,201,71,84,42,470,12,24.0,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,280,72,149,68,1622,12,68.1,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PLA,232,46,72,89,975,17,75.2,TempInstabile;SchermoNero,ProblemaElettrico
PETG,233,79,62,77,112,9,66.3,OdoreBruciato,ProblemaElettrico
ASA,210,61,76,65,146,18,40.5,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PC,216,44,110,59,6542,89,29.6,TicchettioEstrusore,GuastoMeccanico
ABS,194,64,137,83,484,8,6.5,TempInstabile,ProblemaElettrico
TPU,209,57,134,67,282,12,72.1,LayerSpostati;TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
ABS,206,41,100,52,1611,11,8.7,VentolaRumorosa,GuastoTermico
ASA,216,45,167,78,5349,30,15.5,SottoEstrusione,GuastoMeccanico
ABS,197,66,57,80,1041,15,28.9,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,228,49,44,72,809,10,24.0,OdoreBruciato;HomeFallito,ProblemaElettrico
PETG,234,65,63,56,1189,25,37.0,Warping,ProblemaAdesione
PLA,225,53,63,37,2035,20,29.1,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,216,37,45,81,3588,5,33.4,Warping;PiattoFreddo,ProblemaAdesione
PC,213,35,70,64,2005,13,57.8,Warping;PiattoFreddo,ProblemaAdesione
TPU,207,67,112,80,900,6,49.4,TempInstabile;SchermoNero,ProblemaElettrico
ABS,154,64,120,63,3500,6,2.1,TempInstabile;TempTroppoAlta;PiattoFreddo;HomeFallito,GuastoTermico
NYLON,214,66,134,54,3479,30,75.1,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
PETG,218,43,73,47,1972,6,94.1,TempInstabile,GuastoTermico
ASA,194,70,148,69,3481,39,86.7,TempInstabile;TicchettioEstrusore;VentolaRumorosa,GuastoTermico
ASA,221,31,84,61,1748,10,84.5,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,215,58,84,49,2226,7,93.5,OdoreBruciato;HomeFallito,ProblemaElettrico
ABS,228,44,85,63,1159,21,8.3,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,285,59,113,33,3236,14,68.5,TempTroppoAlta,GuastoTermico
ASA,236,29,100,69,2609,17,30.3,Warping;FilamentoNonEsce,ProblemaAdesione
PETG,199,55,183,41,3875,39,53.6,SottoEstrusione;HomeFallito;VentolaRumorosa,GuastoMeccanico
PLA,217,63,148,52,2240,25,5.5,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,208,52,98,35,2775,15,4.8,Warping;FilamentoNonEsce,ProblemaAdesione
TPU,280,77,123,37,3452,35,84.6,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,202,40,141,36,6623,35,69.5,HomeFallito,GuastoMeccanico
ABS,203,67,119,76,6480,44,57.8,RumoreCinghia,GuastoMeccanico
NYLON,216,72,174,59,4258,54,19.1,RumoreCinghia,GuastoMeccanico
PETG,198,65,79,36,504,24,27.3,Warping;FilamentoNonEsce,ProblemaAdesione
PC,236,76,40,73,1488,16,0.6,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
PLA,226,61,45,80,2437,12,73.8,TempInstabile;OdoreBruciato;HomeFallito;VentolaRumorosa,ProblemaElettrico
NYLON,198,52,126,34,1693,18,75.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,276,66,133,52,2746,23,53.2,TempInstabile;HomeFallito;VentolaRumorosa,GuastoTermico
PETG,221,54,138,41,3119,58,31.3,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,166,67,94,77,4621,7,44.5,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PC,279,55,113,73,2278,25,71.0,TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,170,67,122,58,2477,10,91.7,TempTroppoAlta;TicchettioEstrusore,GuastoTermico
PLA,239,72,90,79,992,8,91.7,HomeFallito,ProblemaElettrico
ASA,226,80,78,64,3018,17,25.8,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
ABS,204,50,100,42,336,20,91.5,Warping;PiattoFreddo;SchermoNero,ProblemaAdesione
PETG,198,76,60,93,439,15,71.2,HomeFallito,ProblemaElettrico
PETG,195,74,53,73,2117,8,87.4,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
TPU,288,68,42,78,3447,17,51.1,VentolaRumorosa,GuastoTermico
ASA,217,29,76,37,257,19,7.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,233,51,105,67,222,23,29.6,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
TPU,210,48,137,64,2396,17,46.0,TempTroppoAlta,GuastoTermico
PC,230,74,112,60,3738,15,45.4,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ASA,203,60,77,59,2219,17,14.0,FilamentoNonEsce,ProblemaAdesione
PLA,203,71,66,87,3060,24,50.2,OdoreBruciato;SchermoNero,ProblemaElettrico
ASA,239,62,174,32,3327,32,24.1,SottoEstrusione;HomeFallito,GuastoMeccanico
PC,199,62,50,52,2192,15,61.0,TempInstabile,ProblemaElettrico
PC,232,28,88,67,1736,13,95.3,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,251,71,53,65,3177,12,82.7,TempInstabile;PiattoFreddo,GuastoTermico
PC,207,52,70,74,2837,16,2.7,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
TPU,215,46,52,70,1698,12,69.8,TicchettioEstrusore,GuastoMeccanico
PC,197,45,110,76,971,18,83.9,SottoEstrusione,GuastoMeccanico
ABS,210,43,106,49,1927,11,52.7,Warping;VentolaRumorosa,ProblemaAdesione
ABS,286,63,103,75,3244,10,64.9,TempTroppoAlta,GuastoTermico
PLA,240,52,110,47,3186,68,35.6,TicchettioEstrusore,GuastoMeccanico
NYLON,234,78,141,72,5961,45,25.9,TicchettioEstrusore;HomeFallito,GuastoMeccanico
NYLON,278,75,119,30,1159,22,70.2,TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,211,70,101,79,1558,7,39.8,RumoreCinghia;LayerSpostati;HomeFallito,GuastoMeccanico
ASA,202,47,122,48,3656,42,13.4,PiattoFreddo,ProblemaAdesione
PC,201,72,138,75,5500,53,39.5,LayerSpostati;TicchettioEstrusore;SottoEstrusione;SchermoNero,GuastoMeccanico
NYLON,205,56,143,70,5680,37,27.6,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PLA,213,53,107,47,3558,87,4.7,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
PLA,192,49,47,95,3565,12,93.0,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
PETG,226,66,160,76,4839,33,67.9,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
ABS,265,61,60,73,3803,5,89.0,PiattoFreddo,GuastoTermico
ABS,150,74,80,37,1343,16,45.8,TempInstabile;PiattoFreddo,GuastoTermico
TPU,156,74,139,70,2313,10,3.8,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,190,50,61,48,2980,15,95.3,TempInstabile,GuastoTermico
ASA,240,72,99,76,1801,23,43.4,TicchettioEstrusore;HomeFallito;SchermoNero,ProblemaElettrico
PLA,224,64,88,55,3856,21,85.6,TicchettioEstrusore;HomeFallito,GuastoMeccanico
TPU,258,41,53,71,2614,21,80.9,TempInstabile;TempTroppoAlta,GuastoTermico
PC,200,56,63,43,728,21,34.2,TicchettioEstrusore;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,224,80,100,59,2119,7,58.6,TempInstabile;PiattoFreddo;SchermoNero,GuastoTermico
PC,198,73,121,87,139,18,92.3,OdoreBruciato;HomeFallito,ProblemaElettrico
PC,206,44,183,43,6187,46,40.4,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PETG,168,67,79,69,1511,22,38.1,TempInstabile;TempTroppoAlta,GuastoTermico
PLA,236,41,131,71,1715,20,6.4,Warping,ProblemaAdesione
NYLON,204,71,115,41,874,23,7.3,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ABS,190,66,75,48,1804,20,88.1,TempInstabile;VentolaRumorosa,GuastoTermico
NYLON,202,76,135,50,5885,59,83.2,LayerSpostati;SottoEstrusione,GuastoMeccanico
PETG,233,79,172,54,6044,40,46.6,SottoEstrusione,GuastoMeccanico
ABS,233,67,175,66,4990,31,3.1,HomeFallito,GuastoMeccanico
ASA,225,63,189,75,4985,31,95.6,TicchettioEstrusore;HomeFallito,GuastoMeccanico
TPU,231,56,68,40,3297,17,63.7,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
TPU,287,42,136,77,2304,22,33.9,TempTroppoAlta;PiattoFreddo,GuastoTermico
PETG,219,78,108,41,6794,59,54.2,RumoreCinghia;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
PLA,152,75,72,79,2461,9,10.1,TempInstabile;PiattoFreddo,GuastoTermico
PETG,219,62,183,61,3991,47,35.7,LayerSpostati;HomeFallito,GuastoMeccanico
ASA,224,45,123,60,184,19,45.9,Warping;FilamentoNonEsce,ProblemaAdesione
NYLON,215,41,46,58,2156,10,29.6,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PLA,204,46,83,79,2923,25,80.8,OdoreBruciato,ProblemaElettrico
ASA,195,50,98,60,1806,25,47.8,Warping;PiattoFreddo,ProblemaAdesione
PC,220,57,112,86,3749,9,71.9,TempInstabile;OdoreBruciato,ProblemaElettrico
TPU,207,78,144,79,3616,46,62.5,HomeFallito,GuastoMeccanico
PC,202,50,49,36,1841,14,60.5,TicchettioEstrusore,GuastoMeccanico
ASA,196,39,87,41,1159,6,33.1,FilamentoNonEsce,ProblemaAdesione
PETG,217,73,125,69,4656,32,87.1,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
NYLON,195,73,129,66,5244,59,11.0,LayerSpostati;TicchettioEstrusore;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
TPU,235,71,45,39,2094,5,52.3,LayerSpostati;HomeFallito,GuastoMeccanico
PETG,251,64,99,45,3790,17,68.5,TempInstabile;VentolaRumorosa,GuastoTermico
PLA,288,68,46,57,4418,12,83.2,TicchettioEstrusore;VentolaRumorosa,GuastoTermico
PETG,206,64,95,75,2240,6,46.1,TempInstabile;HomeFallito,ProblemaElettrico
PC,199,60,119,51,329,6,42.4,TicchettioEstrusore;PiattoFreddo,ProblemaAdesione
TPU,195,40,47,36,3170,15,75.4,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PETG,168,60,142,67,4545,54,50.3,TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,164,50,141,39,4807,39,56.7,TempInstabile;TempTroppoAlta;SchermoNero,GuastoTermico
PETG,196,62,95,46,1215,23,1.6,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PLA,207,55,47,39,3675,20,59.6,Warping;HomeFallito,ProblemaAdesione
PLA,221,50,82,35,3896,5,77.3,FilamentoNonEsce,ProblemaAdesione
PETG,209,67,106,68,584,25,55.0,VentolaRumorosa;SchermoNero,ProblemaElettrico
ASA,222,63,64,51,2553,15,86.7,PiattoFreddo;SchermoNero,GuastoTermico
ASA,230,78,54,60,1680,7,52.1,TempInstabile,ProblemaElettrico
TPU,206,32,126,87,2603,19,64.4,PiattoFreddo,ProblemaAdesione
PLA,216,51,88,60,787,13,14.4,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,216,43,84,66,1173,17,82.9,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,217,33,129,56,1047,14,55.6,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,256,57,42,38,1826,9,47.2,PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,199,77,80,83,976,15,38.1,HomeFallito,ProblemaElettrico
NYLON,238,50,81,50,1788,8,68.3,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
ASA,211,74,90,37,3024,12,58.1,HomeFallito;SchermoNero,ProblemaElettrico
ABS,240,54,131,73,669,23,49.4,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,205,80,104,39,2930,9,93.6,LayerSpostati;SottoEstrusione,GuastoMeccanico
ASA,191,46,125,68,3292,41,40.7,Warping;TicchettioEstrusore;PiattoFreddo,ProblemaAdesione
PLA,235,25,65,80,1806,15,89.0,FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
NYLON,235,49,44,44,1949,8,66.2,HomeFallito,ProblemaElettrico
TPU,197,61,120,95,2781,9,16.2,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PC,199,42,84,56,1284,21,37.6,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ASA,200,48,76,31,1944,7,40.8,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,197,21,144,81,401,6,95.3,HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,201,58,47,71,936,17,9.3,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,208,73,76,55,2366,12,9.5,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,207,22,54,74,3228,23,92.1,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,240,60,74,67,1855,9,76.5,SchermoNero,ProblemaElettrico
PETG,197,40,146,47,3542,54,69.1,RumoreCinghia;TicchettioEstrusore;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
ABS,154,41,138,66,2961,11,19.2,TempTroppoAlta,GuastoTermico
PC,170,71,57,75,1504,19,70.1,TempInstabile,GuastoTermico
PC,216,45,133,42,5851,55,69.0,HomeFallito,GuastoMeccanico
ASA,235,49,122,78,2802,10,56.1,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
TPU,238,68,56,65,1967,24,37.8,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,162,76,140,37,1523,10,10.9,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ASA,197,38,121,71,1337,5,38.1,Warping;PiattoFreddo;SchermoNero,ProblemaAdesione
PC,250,64,130,32,2455,21,71.2,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,262,58,113,37,3878,23,6.2,PiattoFreddo,GuastoTermico
PC,211,61,101,56,3419,7,87.0,TempInstabile,GuastoTermico
PETG,203,74,56,65,3907,16,74.0,TempTroppoAlta,GuastoTermico
PLA,167,44,64,43,2517,14,18.0,TempTroppoAlta;VentolaRumorosa,GuastoTermico
PETG,250,44,135,49,1114,25,85.1,TempInstabile,GuastoTermico
ASA,283,45,71,31,1668,21,30.7,TempInstabile;PiattoFreddo,GuastoTermico
ABS,155,55,68,68,1668,9,57.7,PiattoFreddo,GuastoTermico
ABS,203,45,115,74,5216,59,41.0,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
TPU,228,53,40,78,3507,20,46.2,Warping;PiattoFreddo,ProblemaAdesione
PETG,166,56,86,40,1725,17,7.5,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,237,44,131,74,1340,8,43.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,228,67,42,76,1435,19,8.4,OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,221,41,170,57,4858,45,24.4,RumoreCinghia;LayerSpostati;SottoEstrusione,GuastoMeccanico
TPU,201,76,57,42,654,12,87.9,LayerSpostati;TicchettioEstrusore;HomeFallito,GuastoMeccanico
PETG,197,22,139,75,2930,9,53.9,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,207,78,159,70,3961,58,4.1,RumoreCinghia;LayerSpostati;SottoEstrusione,GuastoMeccanico
PC,207,34,49,48,2669,12,41.0,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,198,29,75,30,1439,8,71.5,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,213,79,67,83,1096,5,39.5,OdoreBruciato;TicchettioEstrusore;HomeFallito;SchermoNero,ProblemaElettrico
ABS,192,64,116,67,1730,20,74.2,SchermoNero,ProblemaElettrico
ASA,198,68,83,60,1484,24,61.9,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,270,65,116,41,1484,17,90.2,TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,230,69,143,83,3672,47,61.8,TempInstabile;SchermoNero,ProblemaElettrico
NYLON,207,77,60,43,2644,14,87.1,TempInstabile,GuastoTermico
PETG,222,37,103,73,1969,15,61.3,FilamentoNonEsce,ProblemaAdesione
PETG,232,53,64,51,3299,9,18.1,RumoreCinghia;LayerSpostati,GuastoMeccanico
NYLON,229,43,93,47,2855,16,36.6,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,208,57,42,76,915,17,63.7,Warping;PiattoFreddo,ProblemaAdesione
NYLON,240,45,121,61,3586,47,39.3,PiattoFreddo,ProblemaAdesione
ASA,212,67,46,75,2081,13,7.1,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,210,80,42,55,1860,8,65.0,TempInstabile,ProblemaElettrico
PETG,191,50,78,95,1184,15,11.9,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
NYLON,190,41,140,61,3678,60,86.0,RumoreCinghia;LayerSpostati;HomeFallito,GuastoMeccanico
PLA,215,72,54,72,175,6,62.4,OdoreBruciato;SchermoNero,ProblemaElettrico
ABS,161,47,74,49,2572,15,22.2,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,207,46,46,62,2940,24,86.8,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PC,199,62,73,50,1442,7,75.1,TempInstabile;SchermoNero,ProblemaElettrico
PLA,232,49,98,75,1010,23,6.3,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PLA,208,76,123,80,3459,40,75.4,TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,237,63,47,91,1008,7,27.6,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PC,218,69,97,94,3665,5,42.9,SchermoNero,ProblemaElettrico
PLA,191,59,103,31,199,15,95.5,TempInstabile;TempTroppoAlta;HomeFallito,GuastoTermico
PETG,212,36,125,94,2624,24,53.8,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,240,79,105,66,1012,19,83.3,TempInstabile;OdoreBruciato;VentolaRumorosa,ProblemaElettrico
PLA,191,79,126,34,1357,24,75.9,TempInstabile;OdoreBruciato,ProblemaElettrico
PETG,219,62,193,54,3677,30,86.0,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
NYLON,222,64,75,40,3261,20,44.8,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,253,74,72,80,1730,7,10.0,PiattoFreddo;VentolaRumorosa,GuastoTermico
ASA,203,56,99,76,1821,8,9.2,OdoreBruciato;HomeFallito,ProblemaElettrico
PC,190,61,86,30,2243,9,49.1,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PLA,214,44,126,61,3342,49,17.0,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PETG,157,55,83,51,3625,23,70.5,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,193,34,74,77,2660,15,33.6,TicchettioEstrusore;FilamentoNonEsce,ProblemaAdesione
ABS,228,73,125,74,417,10,17.9,RumoreCinghia;LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
ASA,199,46,50,43,3541,15,70.3,Warping;PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
PLA,228,23,98,43,1479,5,86.0,Warping;PiattoFreddo;FilamentoNonEsce;SchermoNero,ProblemaAdesione
TPU,226,55,138,51,286,15,54.6,LayerSpostati;SottoEstrusione,GuastoMeccanico
PETG,151,53,73,60,1168,8,20.6,TempInstabile;TicchettioEstrusore,GuastoTermico
PLA,212,52,196,42,5923,43,91.9,RumoreCinghia;SottoEstrusione,GuastoMeccanico
ASA,209,27,112,51,1090,20,73.6,FilamentoNonEsce,ProblemaAdesione
